"Method","C_index","AUC_Median","IBS","MSE","F1","Precision","Recall","Selected_Num","Simulation_ID"
"Lasso (Combined)",0.719536518187862,0.730731006252543,0.158114901880654,0.0216908702906206,0.507462686567164,0.361702127659574,0.85,47,71
"TransCox-Sparse",0.796229461487321,0.843402390382011,0.143172495205483,0.0224518068722032,0.44,0.366666666666667,0.55,30,71
"Lasso (Primary)",0.5,0.5,0.25,0.0236739594774294,0,0,0,0,72
"Lasso (Combined)",0.544316096297096,0.586880319145524,0.22894847561783,0.0267400538166845,0.4,0.3,0.6,40,72
"TransCox-Sparse",0.705333045449638,0.771145683613274,0.203746875031317,0.0217090587947741,0.193548387096774,0.272727272727273,0.15,11,72
"Lasso (Primary)",0.5,0.5,0.25,0.0212661725651521,0,0,0,0,73
"Lasso (Combined)",0.651760843613211,0.686242521078261,0.193139288257104,0.0177992732749004,0.56,0.466666666666667,0.7,30,73
"TransCox-Sparse",0.712644249900517,0.757407387677009,0.17701056290203,0.0183769157953313,0.277777777777778,0.3125,0.25,16,73
"Lasso (Primary)",0.6218343417037,0.641378864601203,0.16825112417717,0.017080956182817,0.280701754385965,0.216216216216216,0.4,37,74
"Lasso (Combined)",0.488461744391498,0.457424987401203,0.248352450363963,0.0255213313012538,0.377358490566038,0.303030303030303,0.5,33,74
"TransCox-Sparse",0.492852171119559,0.47234759498409,0.208036648109894,0.0200404750312245,0.27027027027027,0.294117647058824,0.25,17,74
"Lasso (Primary)",0.543637869169197,0.584732447378591,0.21280220666205,0.0239121463053793,0.0952380952380952,0.0909090909090909,0.1,22,75
"Lasso (Combined)",0.641291747170853,0.643235781171176,0.210935535418999,0.0183159250349176,0.409638554216867,0.26984126984127,0.85,63,75
"TransCox-Sparse",0.698481921059895,0.705601399070982,0.176374229478347,0.0152805887005898,0.448979591836735,0.379310344827586,0.55,29,75
"Lasso (Primary)",0.5,0.5,0.25,0.0172758731215121,0,0,0,0,76
"Lasso (Combined)",0.630310431261649,0.675625130780563,0.196192114675414,0.0153504391993466,0.4,0.466666666666667,0.35,15,76
"TransCox-Sparse",0.654219422842085,0.664339571078003,0.172136951283284,0.0130320609562735,0.227272727272727,0.208333333333333,0.25,24,76
"Lasso (Primary)",0.679025630991978,0.67840140709966,0.192386524441614,0.0219673284176474,0.303030303030303,0.217391304347826,0.5,46,77
"Lasso (Combined)",0.716885149677167,0.695998921063426,0.164228791150484,0.0160771722616016,0.538461538461538,0.4375,0.7,32,77
"TransCox-Sparse",0.755771864605752,0.764139866458187,0.150342811205312,0.0125793177983499,0.326530612244898,0.275862068965517,0.4,29,77
"Lasso (Primary)",0.732912525319139,0.783066689892435,0.152213432375303,0.0250244833941752,0.258064516129032,0.19047619047619,0.4,42,78
"Lasso (Combined)",0.763012859767299,0.815662517974982,0.140486051270244,0.0181965489200092,0.333333333333333,0.210526315789474,0.8,76,78
"TransCox-Sparse",0.819397993311037,0.859472795370514,0.132501447469653,0.0245351153430459,0.333333333333333,0.318181818181818,0.35,22,78
"Lasso (Primary)",0.667285129604366,0.656784104700206,0.184406005988936,0.0242211228190486,0.0952380952380952,1,0.05,1,79
"Lasso (Combined)",0.678417462482947,0.673515648854836,0.187575299248502,0.0157790746650815,0.450704225352113,0.313725490196078,0.8,51,79
"TransCox-Sparse",0.661882673942701,0.654713869955299,0.18057838976943,0.0183104558099081,0.457142857142857,0.533333333333333,0.4,15,79
"Lasso (Primary)",0.750395832269268,0.77181234239434,0.156615308574716,0.0189255886798364,0.55,0.55,0.55,20,80
"Lasso (Combined)",0.701006180090914,0.708573114715249,0.170721170212006,0.0207601295291198,0.380952380952381,0.363636363636364,0.4,22,80
"TransCox-Sparse",0.764083967516216,0.821125648255181,0.170161240560318,0.0196629675871132,0.166666666666667,0.1875,0.15,16,80
"Lasso (Primary)",0.708327177820456,0.736803713592735,0.153034060977449,0.0232987868431979,0.514285714285714,0.6,0.45,15,81
"Lasso (Combined)",0.705077067021224,0.750358517845846,0.173753915762803,0.0193989636728171,0.517241379310345,0.394736842105263,0.75,38,81
"TransCox-Sparse",0.761855517801743,0.814609821253083,0.144939160759754,0.0221180933329177,0.432432432432432,0.470588235294118,0.4,17,81
"Lasso (Primary)",0.651509790044822,0.655331163683535,0.214217250150566,0.0189430927255988,0.0952380952380952,1,0.05,1,82
"Lasso (Combined)",0.662951167728238,0.689147854265641,0.183193502559685,0.0144429443691021,0.56,0.466666666666667,0.7,30,82
"TransCox-Sparse",0.732837933474876,0.733277928317604,0.169607873642935,0.0142105979977777,0.340425531914894,0.296296296296296,0.4,27,82
"Lasso (Primary)",0.687169849654612,0.755636610563938,0.188150314104947,0.0245815587373513,0.173913043478261,0.666666666666667,0.1,3,83
"Lasso (Combined)",0.673811458756603,0.718600122413469,0.181123382871958,0.0222811492306362,0.391304347826087,0.346153846153846,0.45,26,83
"TransCox-Sparse",0.778748476229175,0.85460208547836,0.172466229445635,0.0229297290397241,0.228571428571429,0.266666666666667,0.2,15,83
"Lasso (Primary)",0.810575395808782,0.863892379926581,0.143379874340428,0.0157663760577397,0.54054054054054,0.588235294117647,0.5,17,84
"Lasso (Combined)",0.638930163447251,0.688667105803686,0.190460236067345,0.0212912928721148,0.530612244897959,0.448275862068966,0.65,29,84
"TransCox-Sparse",0.663267920274632,0.687481896577852,0.209812942953787,0.0235364859271772,0.105263157894737,0.111111111111111,0.1,18,84
"Lasso (Primary)",0.685273901270569,0.710767231376968,0.190051515335597,0.0219751411626589,0.230769230769231,0.5,0.15,6,85
"Lasso (Combined)",0.682305769631327,0.703890692909316,0.173345210689595,0.0186893982571491,0.5,0.666666666666667,0.4,12,85
"TransCox-Sparse",0.794417829618829,0.840807144492359,0.154007243297376,0.0188047023186155,0.358974358974359,0.368421052631579,0.35,19,85
"Lasso (Primary)",0.5,0.5,0.25,0.0384490078090947,0,0,0,0,86
"Lasso (Combined)",0.794912842404838,0.87371112154178,0.141039463768818,0.0201844378248896,0.590909090909091,0.541666666666667,0.65,24,86
"TransCox-Sparse",0.788553895410886,0.856876362923811,0.161114508659761,0.024900622415372,0.390243902439024,0.380952380952381,0.4,21,86
"Lasso (Primary)",0.655990937644817,0.669159602563346,0.17338386548491,0.0192366541634709,0.222222222222222,0.428571428571429,0.15,7,87
"Lasso (Combined)",0.670408320889759,0.702662955789901,0.184766136311819,0.0206550353928222,0.406779661016949,0.307692307692308,0.6,39,87
"TransCox-Sparse",0.707739045363267,0.747248822717659,0.170559785290052,0.0202001336810969,0.285714285714286,0.333333333333333,0.25,15,87
"Lasso (Primary)",0.651689025375788,0.65648810185951,0.173584756211825,0.0150985551927768,0.236842105263158,0.160714285714286,0.45,56,88
"Lasso (Combined)",0.593340876030386,0.626272185693716,0.228033611877851,0.0195392675994732,0.383561643835616,0.264150943396226,0.7,53,88
"TransCox-Sparse",0.615915090781747,0.639179747595648,0.183963024466355,0.016501129457026,0.4,0.6,0.3,10,88
"Lasso (Primary)",0.5,0.5,0.25,0.0272129692452663,0,0,0,0,89
"Lasso (Combined)",0.707925156739812,0.729232113588307,0.178499780225483,0.017271938095507,0.472222222222222,0.326923076923077,0.85,52,89
"TransCox-Sparse",0.737215909090909,0.753867090106168,0.14668450483383,0.0200695504468632,0.32258064516129,0.454545454545455,0.25,11,89
"Lasso (Primary)",0.695012520868113,0.722031204578646,0.179855390487775,0.0174575285239921,0.304347826086956,0.269230769230769,0.35,26,90
"Lasso (Combined)",0.678891903171953,0.688129233254874,0.182572576287788,0.0194532829794567,0.48,0.4,0.6,30,90
"TransCox-Sparse",0.726106010016695,0.775442620662403,0.179324166850628,0.0222870644373476,0.238095238095238,0.227272727272727,0.25,22,90
"Lasso (Primary)",0.665182092321967,0.680646591540858,0.175604446133451,0.0274686495829959,0.216216216216216,0.235294117647059,0.2,17,91
"Lasso (Combined)",0.752215263279981,0.812213790785506,0.155190171035561,0.0206665849784287,0.731707317073171,0.714285714285714,0.75,21,91
"TransCox-Sparse",0.77086522848527,0.822639272514834,0.167849953189735,0.0201896012170179,0.391304347826087,0.346153846153846,0.45,26,91
"Lasso (Primary)",0.671679432094153,0.698526334119886,0.178998577539179,0.0265554224886155,0.4,0.4,0.4,20,92
"Lasso (Combined)",0.673827760134504,0.711063075211871,0.188091101147694,0.0259824061577841,0.447368421052632,0.303571428571429,0.85,56,92
"TransCox-Sparse",0.716373995890155,0.750506544603215,0.183691172435225,0.0255467660311384,0.37037037037037,0.294117647058824,0.5,34,92
"Lasso (Primary)",0.719624401310814,0.764282589674367,0.158518069565455,0.010788349915985,0.352941176470588,0.428571428571429,0.3,14,93
"Lasso (Combined)",0.622195613813965,0.66727908863065,0.200417979054763,0.0134788738676235,0.470588235294118,0.571428571428571,0.4,14,93
"TransCox-Sparse",0.619422737585077,0.636123240630368,0.185877113646427,0.0142376566103049,0.285714285714286,0.5,0.2,8,93
"Lasso (Primary)",0.525224154693745,0.525754134712523,0.271727708209255,0.027385012396603,0.176470588235294,0.125,0.3,48,94
"Lasso (Combined)",0.512801123474128,0.50293102578904,0.252091186079216,0.0143443411355994,0.444444444444444,0.352941176470588,0.6,34,94
"TransCox-Sparse",0.613535702711462,0.659304995271661,0.182280624972367,0.0131563448235746,0.216216216216216,0.235294117647059,0.2,17,94
"Lasso (Primary)",0.658294336739566,0.686566156008067,0.185194433899397,0.0211451667642577,0.0952380952380952,1,0.05,1,95
"Lasso (Combined)",0.635755897239996,0.671305904166604,0.193328836140644,0.0209086962112786,0.412698412698413,0.302325581395349,0.65,43,95
"TransCox-Sparse",0.604431286410085,0.641032952797885,0.181672088179783,0.0200429863444456,0.15,0.15,0.15,20,95
"Lasso (Primary)",0.607824100513992,0.630110753245842,0.189634715288603,0.0238794032720734,0.260869565217391,1,0.15,3,96
"Lasso (Combined)",0.702113078241005,0.719321586566389,0.162844340552882,0.014865834155306,0.509090909090909,0.4,0.7,35,96
"TransCox-Sparse",0.70422615648201,0.768948143296234,0.169182777397528,0.0207211602846634,0.425531914893617,0.37037037037037,0.5,27,96
"Lasso (Primary)",0.660148500821856,0.675477691854011,0.162372409607639,0.00952586309208435,0.325581395348837,0.304347826086957,0.35,23,97
"Lasso (Combined)",0.59791418692966,0.622643821169643,0.205567037403221,0.0109087050317612,0.440677966101695,0.333333333333333,0.65,39,97
"TransCox-Sparse",0.584537777022048,0.594155406833935,0.176798441914378,0.0115415534318375,0.19047619047619,0.181818181818182,0.2,22,97
"Lasso (Primary)",0.583044873812071,0.613160835711471,0.192819117151556,0.013128625369939,0.217391304347826,0.192307692307692,0.25,26,98
"Lasso (Combined)",0.655799609792938,0.677444207486657,0.185361102593983,0.0163888932662617,0.5,0.40625,0.65,32,98
"TransCox-Sparse",0.703127950154195,0.718980729166856,0.186015372687033,0.0141557329778972,0.307692307692308,0.315789473684211,0.3,19,98
"Lasso (Primary)",0.683953132959755,0.734204162500916,0.19163934950141,0.0259812614629872,0.266666666666667,0.4,0.2,10,99
"Lasso (Combined)",0.726388181355069,0.750863571142084,0.157408453682109,0.0208182529686676,0.459016393442623,0.341463414634146,0.7,41,99
"TransCox-Sparse",0.715639327559857,0.765209654674622,0.185840101375366,0.0244867186526353,0.363636363636364,0.333333333333333,0.4,24,99
"Lasso (Primary)",0.605046728971963,0.606197117100697,0.209984053966787,0.0317363803599608,0.324324324324324,0.222222222222222,0.6,54,100
"Lasso (Combined)",0.594392523364486,0.619406636273683,0.211720442645844,0.0139158374101424,0.426666666666667,0.290909090909091,0.8,55,100
"TransCox-Sparse",0.653956386292835,0.702338331905128,0.166246457170345,0.0123793255499488,0.307692307692308,0.25,0.4,32,100
