"Method","C_index","AUC_Median","IBS","MSE","F1","Precision","Recall","Selected_Num","Simulation_ID"
"Lasso (Primary)",0.684689604951757,0.666493379321313,0.146292032239721,0.00871551947774247,0.41025641025641,0.421052631578947,0.4,19,8
"Lasso (Combined)",0.614357667334183,0.584354435348239,0.209838018665211,0.0120008460114779,0.530612244897959,0.448275862068966,0.65,29,8
"TransCox-Sparse",0.484192001941865,0.436119738718438,0.202147774560155,0.0136249607163104,0,0,0,2,8
"Lasso (Primary)",0.765292489741388,0.821029038901965,0.159447249031388,0.0241530291402516,0.181818181818182,1,0.1,2,9
"Lasso (Combined)",0.722874320068709,0.788693321489578,0.161050444733221,0.0159505852025905,0.357142857142857,0.277777777777778,0.5,36,9
"TransCox-Sparse",0.780036263002195,0.836015853162493,0.142363933085018,0.0209384837192212,0.148148148148148,0.285714285714286,0.1,7,9
"Lasso (Primary)",0.664594776910475,0.702590911317464,0.171052656757745,0.0240213628542111,0.25,0.333333333333333,0.2,12,10
"Lasso (Combined)",0.683434518647008,0.687491100819314,0.182470229039315,0.0216945371310977,0.545454545454545,0.428571428571429,0.75,35,10
"TransCox-Sparse",0.685217307506987,0.694689559919258,0.174237906553119,0.0231836341172197,0.387096774193548,0.545454545454545,0.3,11,10
"Lasso (Primary)",0.650196283695368,0.677144073967973,0.234227531153122,0.0185892106352226,0.0909090909090909,0.5,0.05,2,11
"Lasso (Combined)",0.683433656110966,0.742485537152906,0.186230302108017,0.0140737083198251,0.4,0.3,0.6,40,11
"TransCox-Sparse",0.720439675477624,0.764717065164964,0.218766308422593,0.0167488647580316,0.352941176470588,0.428571428571429,0.3,14,11
"Lasso (Primary)",0.653913138129966,0.655940831892711,0.174179465144337,0.0162258427848309,0.392857142857143,0.305555555555556,0.55,36,12
"Lasso (Combined)",0.645096331773158,0.684781448440361,0.185630694927425,0.0170716987294973,0.336842105263158,0.213333333333333,0.8,75,12
"TransCox-Sparse",0.697507347338631,0.736321578029078,0.169197115410493,0.0189082168512672,0.421052631578947,0.444444444444444,0.4,18,12
"Lasso (Primary)",0.737696529909759,0.768291032235162,0.196028095129731,0.0218884197075689,0.153846153846154,0.333333333333333,0.1,6,13
"Lasso (Combined)",0.666666666666667,0.665846995266869,0.196419483437116,0.0196119436537631,0.46875,0.340909090909091,0.75,44,13
"TransCox-Sparse",0.728811982510001,0.732248637293361,0.195867893260245,0.0206609750170012,0.363636363636364,0.461538461538462,0.3,13,13
"Lasso (Primary)",0.628327624541794,0.661121382498767,0.283309994827287,0.21287559714911,0.239130434782609,0.152777777777778,0.55,72,14
"Lasso (Combined)",0.714981070849108,0.77877745685349,0.165998991954565,0.017910535401334,0.468085106382979,0.407407407407407,0.55,27,14
"TransCox-Sparse",0.755363259419506,0.813410326607765,0.155788281759714,0.0177501949256376,0.444444444444444,0.4,0.5,25,14
"Lasso (Primary)",0.792554963357762,0.872880617244112,0.178115639465542,0.040669639338432,0.32,0.8,0.2,5,15
"Lasso (Combined)",0.57449200532978,0.612065222913277,0.248127375353592,0.0500832756357616,0.483870967741935,0.357142857142857,0.75,42,15
"TransCox-Sparse",0.698950699533644,0.760227453677212,0.201970914801268,0.0443666163453059,0.4,0.466666666666667,0.35,15,15
"Lasso (Primary)",0.671731372336974,0.690408686415338,0.192880629538219,0.0174742054188945,0.294117647058824,0.208333333333333,0.5,48,16
"Lasso (Combined)",0.564669622580296,0.591208589070766,0.212676748512415,0.0218690414283489,0.530612244897959,0.448275862068966,0.65,29,16
"TransCox-Sparse",0.653725532605169,0.741546273022176,0.189687033721818,0.0197413021828103,0.32,0.8,0.2,5,16
"Lasso (Primary)",0.781186957541637,0.83256975293107,0.131029894438667,0.017008356574611,0.290909090909091,0.228571428571429,0.4,35,17
"Lasso (Combined)",0.755430448041285,0.785665371124583,0.151450275391209,0.0180738084118031,0.492307692307692,0.355555555555556,0.8,45,17
"TransCox-Sparse",0.823223082336383,0.85362360286665,0.145599562340978,0.0202313831584925,0.51063829787234,0.444444444444444,0.6,27,17
